i,d,F(d)
799,82.37,0.18987642585551331
800,82.37,0.19011406844106463
801,82.4,0.19035171102661597
802,82.42,0.1905893536121673
803,82.43,0.19082699619771862
804,82.43,0.19106463878326996
805,82.47,0.1913022813688213
806,82.47,0.1915399239543726
807,82.48,0.19177756653992395
808,82.5,0.1920152091254753
809,82.5,0.1922528517110266
810,82.5,0.19249049429657794
811,82.52,0.19272813688212928
812,82.52,0.19296577946768062
813,82.53,0.19320342205323193
814,82.55,0.19344106463878327
815,82.58,0.1936787072243346
816,82.6,0.19391634980988592
817,82.63,0.19415399239543726
818,82.65,0.1943916349809886
819,82.65,0.19462927756653992
820,82.65,0.19486692015209126
821,82.67,0.1951045627376426
822,82.67,0.1953422053231939
823,82.68,0.19557984790874525
824,82.73,0.1958174904942966
825,82.73,0.1960551330798479
826,82.73,0.19629277566539924
827,82.75,0.19653041825095058
828,82.77,0.1967680608365019
829,82.8,0.19700570342205323
830,82.83,0.19724334600760457
831,82.83,0.19748098859315588
832,82.83,0.19771863117870722
833,82.87,0.19795627376425856
834,82.88,0.19819391634980987
835,82.88,0.1984315589353612
836,82.92,0.19866920152091255
837,82.93,0.19890684410646386
838,82.97,0.1991444866920152
839,82.98,0.19938212927756654
840,82.98,0.19961977186311786
841,83.03,0.1998574144486692
842,83.03,0.20009505703422054
843,83.05,0.20033269961977188
844,83.05,0.2005703422053232
845,83.05,0.20080798479087453
846,83.08,0.20104562737642587
847,83.12,0.20128326996197718
848,83.13,0.20152091254752852
849,83.13,0.20175855513307986
850,83.13,0.20199619771863117
851,83.15,0.2022338403041825
852,83.2,0.20247148288973385
853,83.23,0.20270912547528516
854,83.23,0.2029467680608365
855,83.25,0.20318441064638784
856,83.32,0.20342205323193915
857,83.37,0.2036596958174905
858,83.37,0.20389733840304183
859,83.38,0.20413498098859315
860,83.38,0.20437262357414449
861,83.4,0.20461026615969582
862,83.42,0.20484790874524714
863,83.43,0.20508555133079848
864,83.45,0.20532319391634982
865,83.55,0.20556083650190113
866,83.57,0.20579847908745247
867,83.57,0.2060361216730038
868,83.57,0.20627376425855512
869,83.58,0.20651140684410646
870,83.58,0.2067490494296578
871,83.6,0.2069866920152091
872,83.67,0.20722433460076045
873,83.67,0.2074619771863118
874,83.68,0.2076996197718631
875,83.7,0.20793726235741444
876,83.73,0.20817490494296578
877,83.73,0.20841254752851712
878,83.75,0.20865019011406843
879,83.75,0.20888783269961977
880,83.77,0.20912547528517111
881,83.8,0.20936311787072243
882,83.8,0.20960076045627377
883,83.8,0.2098384030418251
884,83.82,0.21007604562737642
885,83.83,0.21031368821292776
886,83.88,0.2105513307984791
887,83.88,0.2107889733840304
888,83.88,0.21102661596958175
889,83.88,0.2112642585551331
890,83.92,0.2115019011406844
891,83.92,0.21173954372623574
892,84.0,0.21197718631178708
893,84.0,0.2122148288973384
894,84.02,0.21245247148288973
895,84.03,0.21269011406844107
896,84.05,0.21292775665399238
897,84.05,0.21316539923954372
898,84.07,0.21340304182509506
899,84.07,0.21364068441064638
900,84.1,0.21387832699619772
901,84.1,0.21411596958174905
902,84.13,0.21435361216730037
903,84.15,0.2145912547528517
904,84.18,0.21482889733840305
905,84.18,0.21506653992395436
906,84.18,0.2153041825095057
907,84.2,0.21554182509505704
908,84.22,0.21577946768060835
909,84.23,0.2160171102661597
910,84.25,0.21625475285171103
911,84.27,0.21649239543726237
912,84.27,0.21673003802281368
913,84.27,0.21696768060836502
914,84.27,0.21720532319391636
915,84.28,0.21744296577946767
916,84.28,0.217680608365019
917,84.28,0.21791825095057035
918,84.3,0.21815589353612166
919,84.3,0.218393536121673
920,84.3,0.21863117870722434
921,84.3,0.21886882129277566
922,84.32,0.219106463878327
923,84.33,0.21934410646387834
924,84.35,0.21958174904942965
925,84.35,0.219819391634981
926,84.35,0.22005703422053233
927,84.37,0.22029467680608364
928,84.37,0.22053231939163498
929,84.4,0.22076996197718632
